is_in_other_df,body
1,"Governing for Australians, Albanese style.  

Lift the immigration rate to unsustainable levels and kick the battler to the curb. 

“A shocking new report has revealed the extent of the homelessness crisis, with multiple groups calling for urgent action.  As the nation grapples… https://t.co/D2PIwJx7cR"
1,"Don’t believe the lie that an influx of illegal immigrants caused Kenyans to be subjected to new immigration rules by the muzungu pieces of shit at various embassies. 

It’s a sponsored narrative intended to sow the seed of xenophobia against your fellow African brothers and… https://t.co/BkLLjoiUul"
1,"You are being censored.

If you use words such as covid, climate scam, lockdowns, gene therapy, Muslim, immigration, vaccine then there is a high chance that if your post starts to get views then you will see a sexbot post something about body parts in bio. 

As soon as that…"
1,Outrage in Boston: Veterans' Housing Repurposed for Migrant Shelter Amid Crisis https://t.co/DSo27HUHVy
1,"Group of gun-toting migrant squatters busted in Bronx basement apartment on weapons, drug charges https://t.co/ViMziwhUNt https://t.co/6TNZFoyq8J"
1,"A Haitian illegal migrant confessed to s—xually abusing a 10-year-old in Broward County, Fla. Nivenson Sarazin was charged with 5 counts of battery contact with bodily fluids, 5 counts of s—xual assault of a victim under 12 &amp; many other child s—x crimes. https://t.co/pMgAPVW2G6"
1,"I’m being so serious….

Yall didn’t know about the great migration????"
1,Make no mistake. It really isn't safe to vote #Labour.  You can't trust Labour with immigration. If you vote Labour they will give away UK citizenship to the world and his wife. #JoinUKIP https://t.co/AAs4MY3i8q
1,Brave Spanish patriots educate the illegal African immigrant who threatens them with a 20cm knife. Education is important. https://t.co/022IirTJPK
1,"A judge just ordered the mass release of the migrant rioters who stormed our border. 

Will lawfare pave the way for replacement migration?

.@HarrisonHSmith covers this top story and more on today’s edition of the Daily Dispatch: https://t.co/Ibk6ep8xUy"
1,"“Gracie Martinez is a 52-year-old Hispanic small business owner from Eagle Pass, Texas… Martinez said she once voted for former President Barack Obama and is still a Democrat, but now backs Trump — mainly because of the border.”

https://t.co/KtUuz95GaP"
1,"Why we won't vote for a United Ireland.

Higher Cost of Living
Lower Standard of Living
Poverty 35% can't afford basics work
2nd highest on Low pay OECD
Rents CRISIS
Housing CRISIS
Immigration CRISIS
Health Care PRICE"
1,You are a yt immigrant. Stop speaking on Black American culture you uneducated swine.
1,"Oakland County getting stung by a crime ring🤦

Another Migrant Crime Ring, This Time in a Biden-Voting Michigan County 
One of Michigan’s wealthiest counties, which voted heavily for Joe Biden in 2020, has become the target of organized migrant gangs of home invaders, according… https://t.co/xegIWtevyf"
1,"We love Australia🇦🇺🇦🇺🇦🇺

We understand the pain and trouble Australians are facing. And we're calling for immediate measures to get this country back on track. As a start, we want to:

- Halt migration. With a cost of living crisis, not enough houses, and rising unemployment, it… https://t.co/r2yo1GqJzA"
1,There has been a massive uptick in migrant gangs breaking into high-end homes in suburban America. https://t.co/ef5bMKwPRO
1,Millions Of Marshmallow Peeps Begin Annual Migration Back To Isle Of Disgusting Candies https://t.co/IElDFnG0G0 https://t.co/vdSPPKVnfY
1,"WATCH:

@peterbrimelow is right! If other countries aren't going to do anything to stop these hordes of third world criminal illegal aliens from invading our country via Panama, a transit country for illegal migration, then we should just SEIZE the Darién Gap!    

Why stop there… https://t.co/2zic6oe86S"
1,Please do not listen to this person and try to enter the Bahamas or Jamaica or any other Caribbean destination without a passport you will be detained by immigration and sent back on the same flight you came on.
1,"Total restructuring of this country, 🇳🇬.  Let everybody go back and build their papa land. Stop the constant migration to a particular region. Let there be a permanent end to relying on a particular region for sustenance. Let inept Governors sit up."
1,".@realDonaldTrump &amp; #MAGA
Love and need Immigration 
It’s illegals that need to be stopped 
Not a hard concept https://t.co/tcOKoJ5D4B"
1,"Arizona is Ground Zero for these migrant-gang home break-ins. 

Ruben Gallego and Joe Biden opened the border and caused this.  

And now Gallego wants to give the invaders asylum and voting rights. 

Bad idea, Ruben."
1,What should be the criteria for immigration?
